subsys4	010B	001B	009B	012B	013A	014B	017B	018B
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	22	32	21	4413	2379	4736	7740	3846
Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	3	888	4	971	57	61	458	152
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	10	702	5	2434	205	337	3112	3621
Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	630	529	3	4044	164	170	1595	582
Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	14	302	5	644	49	64	324	128
Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	0	0	0	4	0	0	0	0
Ribose operon repressor	7	72	7	5822	213	565	10307	10006
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	7092	21559	9370	10715	10972	17868	17440	9248
Ribose/xylose/arabinose/galactoside ABC-type transport systems, ATP-binding protein (EC 3.6.3.17)	0	1	0	69	3	4	1	1
Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease component 1	0	0	0	82	3	6	0	1
Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	1	1	0	25	4	36	25	5
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	1512	2604	1912	4068	3432	5486	11376	4312
Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	3	10	1	68	53	97	148	52
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	809	2364	1383	2282	2384	3545	5892	2739
Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	0	0	0	0	0	0	1	0
Ribosomal large subunit pseudouridine synthase F (EC 4.2.1.70)	1	4	0	0	0	0	0	0
Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	1601	3667	2121	1460	712	1091	1723	799
ribosomal protein L7Ae family protein	4291	11251	7024	4054	3866	3521	3597	1327
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	39	20	8	1028	833	1691	3631	1759
Ribosomal protein S6 glutaminyl transferase	0	1	0	0	0	0	0	1
Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.51)	0	0	0	0	0	0	0	0
Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	4	7	3	237	182	433	1112	635
Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	3786	9351	4275	914	1400	952	993	296
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	0	0	0	1	0	0	0	0
Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)	1078	3273	2075	3765	2045	3117	4490	2402
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	10	26	8	1763	567	1520	2383	1319
Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.-)	0	0	1	1	0	0	0	0
Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-)	1	3	0	1	13	14	13	107
Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	390	1267	602	187	153	456	346	171
Ribosomal subunit interface protein	23895	25158	8873	33710	23532	40484	78102	35075
Ribosomal-protein-L7p-serine acetyltransferase	355	707	2351	5	8	4	5	4
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	7657	58082	34438	3345	2105	2283	3343	2522
Ribosomal-protein-S5p-alanine acetyltransferase	670	1535	994	2725	2367	7303	4700	1247
Ribosome hibernation protein YfiA	1	1	1	1	1	6	1	1
Ribosome hibernation protein YhbH	34	76	21	8703	9319	15043	46663	22196
Ribosome protection-type tetracycline resistance related proteins, group 2	198	527	278	1	0	1	1	1
Ribosome recycling factor	6170	16682	9107	8667	7912	17702	18046	9898
Ribosome small subunit-stimulated GTPase EngC	723	2387	1351	2569	3372	2755	2660	1125
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	5	5	6	179	477	645	1449	829
Ribosome-binding factor A	2024	5720	4445	3082	2719	4208	4623	2574
Ribosyl nicotinamide transporter, PnuC-like	0	0	0	0	0	5	0	0
Ribosylnicotinamide kinase (EC 2.7.1.22)	2	4	1	581	413	630	1616	529
Ribulokinase (EC 2.7.1.16)	0	0	1	8	0	0	16	1
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	1032	3137	1876	4936	3850	5109	9758	6126
Right origin-binding protein	0	0	0	1	0	0	0	3
RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	0	0	0	0	0	0	0	0
RNA binding methyltransferase FtsJ like	0	0	0	1	0	8	1	6
RNA binding protein, contains ribosomal protein S1 domain	4075	5857	2743	25600	4816	7144	7884	4906
RNA methyltransferase, TrmA family	2859	7961	4843	1624	2060	3407	1456	834
RNA polymerase associated protein RapA (EC 3.6.1.-)	0	0	0	0	0	0	0	0
RNA polymerase sigma factor	1	1	1	3	7	2	44	2
RNA polymerase sigma factor for flagellar operon	2	0	0	0	4	0	0	1
RNA polymerase sigma factor RpoD	7080	18269	5177	8148	7415	9677	16919	9979
RNA polymerase sigma factor RpoE	12	14	6	1712	839	853	5270	2290
RNA polymerase sigma factor RpoH	0	0	0	0	0	4	0	0
RNA polymerase sigma factor RpoS	3	11	3	744	652	1497	2135	1235
RNA polymerase sigma factor SigB	2	8	1	5	7	9	14	5
RNA polymerase sigma factor SigV	1	2	2	25	24	51	98	31
RNA polymerase sigma factor SigW	1	6	1	19	1	33	43	14
RNA polymerase sigma factor SigZ	0	4	0	0	0	0	5	14
RNA polymerase sigma-54 factor RpoN	7	14	13	1145	1297	1932	2784	1501
RNA polymerase sigma-70 factor	2	3	2	352	66	297	1027	667
RNA polymerase sporulation specific sigma factor SigG	0	0	0	0	0	0	0	0
RNA polymerase sporulation specific sigma factor SigH	3	7	2	259	469	1164	1322	829
RNA polymerase sporulation specific sigma factor SigK	0	0	0	1	0	6	20	2
RNA pseudouridylate synthase, group 1	2	5	1	165	171	465	975	341
RNA-binding protein Hfq	1	1	1	1	1	1	1	1
RND efflux system, inner membrane transporter CmeB	4	7	3	236	231	419	827	138
RND efflux system, membrane fusion protein CmeA	3	32	7	5	5	4	49	8
RND efflux system, outer membrane lipoprotein CmeC	1	5	1	141	31	70	1102	107
RND efflux system, outer membrane lipoprotein, NodT family	2	1	0	29	120	198	499	14
Rod shape-determining protein MreB	9312	23358	11459	9525	12494	16614	14911	5284
Rod shape-determining protein MreC	2490	7258	4824	2292	2736	3488	4891	1581
Rod shape-determining protein MreD	1148	3228	2406	718	550	1025	1201	604
Rod shape-determining protein RodA	4	10	19	568	280	526	1197	520
RofA-like transcriptional regulator	0	0	0	0	0	0	0	0
RopB	484	3123	835	583	124	1049	500	107
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	520	1231	759	1691	3699	2317	2538	788
Rrf2 family transcriptional regulator	36	83	32	3708	1808	5120	6811	5028
Rrf2 family transcriptional regulator, group III	2	211	5	2	2	2	2	4
rRNA small subunit methyltransferase H	7267	15143	11548	6230	3564	6527	8567	3378
rRNA small subunit methyltransferase I	2317	6177	2792	2733	2600	3429	3629	2202
RuBisCO operon transcriptional regulator CbbR	0	0	0	0	1	0	0	0
Rubredoxin	54	111	44	962	1626	2660	34974	27296
rubredoxin-oxygen oxidoreductase	16	60	13	1639	960	1395	8683	4205
Rubrerythrin	49	129	36	1843	5472	5141	22113	26308
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	0	0	0	0	0	0	0	0
S-adenosyl-methyltransferase MraW (EC 2.1.1.-)	0	0	0	1	0	0	0	0
S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	1382	3901	2720	4197	5333	12650	5287	1958
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A	2	15	4	167	285	441	765	531
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	24	63	16	2012	403	1048	1578	706
S-adenosylmethionine synthetase (EC 2.5.1.6)	5377	11481	12633	5868	6029	22571	16874	8582
S-adenosylmethionine-dependent methyltransferase Functionally Coupled to the MukBEF Chromosome Partitioning Mechanism	0	0	0	0	0	0	0	0
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	8	20	14	1742	1666	3212	6866	2837
S-formylglutathione hydrolase (EC 3.1.2.12)	0	0	0	0	22	232	0	0
S-ribosylhomocysteine lyase (EC 4.4.1.21)	835	3330	6	1317	608	1987	2843	1468
S1 RNA binding domain protein	1	1	1	1	1	9	3	3
S4-domain-containing heat shock protein	1559	4970	2388	666	1083	905	795	159
SAG1025 homolog within ESAT-6 gene cluster	0	0	0	0	0	0	0	0
SAM-dependent methlytransferase YrrT	0	4	0	0	0	0	0	0
Sarcosine oxidase alpha subunit (EC 1.5.3.1)	0	0	0	4	2	4	26	16
Sarcosine oxidase beta subunit (EC 1.5.3.1)	0	1	1	0	0	0	0	0
Secreted protein Hcp	0	0	0	0	0	1	1	0
Secreted von Willebrand factor-binding protein VWbp	0	0	0	4	1	0	2	1
Segregation and condensation protein A	1025	1995	1220	2159	2162	2781	1822	1120
Segregation and condensation protein B	1846	3736	2289	1868	1420	1668	736	228
Selenide,water dikinase (EC 2.7.9.3)	0	0	0	0	0	0	0	0
selenocysteine-containing	1	1	0	2	1	11	2	6
Selenocysteine-specific translation elongation factor	1	2	0	3	79	312	498	217
Selenophosphate-dependent tRNA 2-selenouridine synthase	0	1	0	1	0	0	0	0
Selenoprotein O and cysteine-containing homologs	0	1	0	0	0	0	0	0
Sensor histidine kinase colocalized with HrtAB transporter	0	0	0	0	0	0	0	0
Sensor histidine kinase LiaS	0	0	0	0	0	0	0	0
Sensor histidine kinase VanS (EC 2.7.3.-)	0	0	0	3	1	1	2	3
Sensor histidine kinase VncS	1	1	1	3	1	4	1	1
Sensor histidine protein kinase UhpB, glucose-6-phosphate specific (EC 2.7.13.3)	0	1	0	1	0	0	0	0
Sensor kinase CitA, DpiB (EC 2.7.3.-)	0	0	0	0	2	1	0	0
Sensor protein of zinc sigma-54-dependent two-component system	1	0	1	24	0	3	29	44
Sensor protein PhoQ (EC 2.7.13.3)	0	0	0	0	0	1	0	0
Sensor protein torS (EC 2.7.3.-)	0	0	0	0	0	1	0	0
Sensory histidine kinase AtoS	1	2	0	10	2	2	34	8
Sensory histidine kinase in two-component regulatory system with RstA	0	0	0	0	1	0	1	0
Sensory histidine kinase QseC	0	1	0	0	0	0	1	0
Septation ring formation regulator EzrA	1272	3534	1733	5	4	5	7	2
Septum formation protein Maf	12	21	11	924	349	797	1446	980
Septum site-determining protein MinC	2	3	0	1	1	2	3	2
Septum site-determining protein MinD	40	110	38	4261	818	1847	4507	6222
SeqA protein, negative modulator of initiation of replication	0	0	0	0	0	0	2	0
Ser/Thr and Tyr protein phosphatase (dual specificity)	0	0	0	0	0	0	0	0
Serine acetyltransferase (EC 2.3.1.30)	10	12	6	549	812	1692	4221	2176
Serine endopeptidase ScpC (EC 3.4.21.-)	2	3	2	88	41	314	582	434
Serine hydroxymethyltransferase (EC 2.1.2.1)	4322	13209	4214	1774	1199	1350	5629	2717
Serine phosphatase RsbU, regulator of sigma subunit	2	8	3	5	7	9	15	8
Serine protease (EC 3.4.21.-)	359	581	249	404	357	628	1832	827
Serine protease precursor MucD/AlgY associated with sigma factor RpoE	0	2	0	0	0	0	0	12
Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	0	0	0	0	0	0	0	0
Serine transporter	1	3	1	185	141	291	446	173
Serine--pyruvate aminotransferase (EC 2.6.1.51)	0	0	0	0	0	0	0	0
Serine-protein kinase rsbW (EC 2.7.11.1)	3	17	5	42	8	8	26	237
Serine/threonine protein kinase PrkC, regulator of stationary phase	2165	5998	2988	3941	2624	2958	5455	2763
Seryl-tRNA synthetase (EC 6.1.1.11)	1321	3818	2964	6061	3998	10497	17347	8357
SgrR, sugar-phosphate stress, transcriptional activator of SgrS small RNA	0	0	0	1	0	0	0	0
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	25	13	6	1128	715	1324	2161	1164
Shikimate kinase I (EC 2.7.1.71)	14	35	15	1667	1626	2785	5242	3233
Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)	0	13	0	0	0	0	0	0
Short chain fatty acids transporter	1	1	0	1	149	213	2	27
Sialic acid biosynthesis protein NeuD, O-acetyltransferase	0	0	0	0	0	0	0	0
Sialic acid transporter (permease) NanT	0	1	2	0	0	0	0	0
Sialic acid utilization regulator, RpiR family	8603	15427	5492	5567	4496	3710	13812	1663
Sialic acid-induced transmembrane protein YjhT(NanM), possible mutarotase	0	1	1	31	2	3	74	10
Sialidase (EC 3.2.1.18)	2	8	1	424	280	650	2381	770
Siderophore staphylobactin ABC transporter, permease protein SirC	0	0	0	0	0	0	0	0
Siderophore staphylobactin ABC transporter, substrate-binding protein SirA	0	0	0	0	0	0	1	0
Siderophore transport protein	0	0	0	0	0	0	1	1
Sigma factor RpoE negative regulatory protein RseA	0	0	0	0	0	0	0	0
Sigma factor RpoE negative regulatory protein RseB precursor	0	0	0	0	0	1	0	0
Sigma factor RpoE regulatory protein RseC	11	9	12	3073	782	3824	2986	2735
Signal peptidase I (EC 3.4.21.89)	1826	3840	1659	2231	1810	3362	6484	2734
Signal peptidase-like protein	24	22	9	1363	1166	2152	3031	1803
Signal recognition particle associated protein	1352	4282	2241	5365	3025	4263	7451	3795
Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	1770	4630	3494	5013	6491	7873	11441	5182
Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	1419	4123	2228	5104	4166	6353	15292	6981
Signal transduction histidine kinase CheA (EC 2.7.3.-)	1	0	2	5	1	1	2	2
Similar to Hydroxyacylglutathione hydrolase, but in an organism lacking glutathione biosynthesis	2	2	1	43	81	119	337	96
Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	9	33	11	15	1198	4952	8947	4451
Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	0	0	0	0	0	0	0	0
Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type	95	223	125	53	124	127	65	15
Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type	453	1127	485	2842	1802	3756	5064	3009
Similar to ribosomal large subunit pseudouridine synthase D, CAC1266-type	1	3	1	108	144	80	167	23
Similar to ribosomal large subunit pseudouridine synthase D, TTE1780-type	0	0	0	0	0	1	0	1
Similar to ribosomal protein L11p	701	0	0	0	0	2	0	0
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 1	0	2	1	0	0	0	0	0
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 2	0	0	0	0	0	0	1	0
Single-stranded DNA-binding protein	30309	73301	69497	39451	28954	41326	72678	30286
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	388	1240	1534	2013	2206	3179	3701	1704
Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)	4	9	1	1461	2400	3528	4511	2840
Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	11	23	13	4117	1675	4272	2843	2555
Site-specific recombinase	15	26	8	1800	234	1309	2976	1180
Site-specific tyrosine recombinase	1247	3857	2634	1959	4401	2908	1786	527
Slr, positive regulator of the extracellular matrix biosynthesis operon yqxM-sipW-tasA	0	0	0	0	0	0	0	0
Small protein similar to cysteinyl-tRNA synthetase	2506	7276	2940	789	1292	2314	667	185
SMT0608 replicon stabilization toxin	2	2	2	2	2	2	2	2
SMT0609 replicon stabilization protein (antitoxin to SMT0608)	1	1	0	1	1	1	1	1
Sodium-Choline Symporter	0	0	0	0	0	0	0	0
Sodium-dependent phosphate transporter	4	14	6	172	226	476	806	432
Sodium/glutamate symport protein	539	110	12	1868	670	850	1408	787
Sodium/glycine symporter GlyP	4	6	4	1344	330	790	788	483
Sodium/myo-inositol cotransporter	0	0	0	0	2	0	1	0
Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	3	13	5	553	460	610	2379	788
Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	0	0	0	0	0	0	0	0
Sorbitol operon transcription regulator	6121	15933	8074	1190	4	6	9	9
Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	3	1	1	1	3	2	5	4
Sortase A, LPXTG specific	1495	5739	1275	3356	1677	3562	11779	3391
SOS-response repressor and protease LexA (EC 3.4.21.88)	2658	9106	3676	2409	1840	2876	3648	2345
SoxH protein, homolog	0	0	0	0	0	0	1	0
Spectinomycin 9-O-adenylyltransferase	0	0	0	0	0	0	0	0
Spermidine N1-acetyltransferase (EC 2.3.1.57)	2	8	2	57	126	351	360	276
Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	903	2101	964	233	308	377	267	50
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	629	1322	693	327	502	825	300	63
Spermidine synthase (EC 2.5.1.16)	5	8	3	1161	408	1143	1707	760
Spore germination protein GerN (inosine-dependent germination), Na+/H+ antiporter	0	0	0	0	0	0	1	0
spore peptidoglycan hydrolase (N-acetylglucosaminidase) (EC 3.2.1.-)	0	3	2	8	5	10	9	21
Sporulation initiation inhibitor protein Soj	89	719	118	6003	5181	9618	12469	6998
Sporulation regulatory protein WhiB	1	1	1	1	1	4	1	1
Sporulation regulatory protein WhiD	1	18	1	1	1	1	1	1
SsnA protein	0	1	0	0	0	0	0	0
SSU ribosomal protein S10p (S20e)	10748	22096	21316	33598	37469	35262	53065	25440
SSU ribosomal protein S11p (S14e)	9984	20858	22605	41095	57234	66293	91549	47015
SSU ribosomal protein S12p (S23e)	19343	43114	42472	24095	32081	37315	84110	41086
SSU ribosomal protein S13p (S18e)	31527	62621	57667	33206	34124	50877	97596	41556
SSU ribosomal protein S14p (S29e)	17082	42810	42691	33886	34862	56341	94889	36345
SSU ribosomal protein S15p (S13e)	2153	2651	3275	14568	8232	23289	59828	26266
SSU ribosomal protein S16p	4766	8499	10643	110422	106603	156790	266183	72193
SSU ribosomal protein S17p (S11e)	13468	38025	39302	27390	39084	53778	78454	34145
SSU ribosomal protein S18p	4326	9949	14875	18176	13806	30773	51217	31613
SSU ribosomal protein S19p (S15e)	13374	26944	27447	29290	27802	35251	69468	25963
SSU ribosomal protein S1p	15799	38378	27001	25147	38999	58358	47570	22684
SSU ribosomal protein S20p	8459	25557	27026	6588	4791	10324	55969	16593
SSU ribosomal protein S21p	5555	12189	8548	33790	14890	21789	23985	14457
SSU ribosomal protein S2p (SAe)	11819	26049	22422	47795	40587	51645	97619	60103
SSU ribosomal protein S3p (S3e)	30059	54248	52204	36068	43418	43366	96672	38856
SSU ribosomal protein S4p (S9e)	10870	13574	23552	24350	24725	33034	65054	35805
SSU ribosomal protein S5p (S2e)	32335	66188	72043	35650	44326	50379	90524	37214
SSU ribosomal protein S6p	23795	50840	62788	67832	66374	85887	112700	59024
SSU ribosomal protein S7p (S5e)	11908	27500	24625	29628	44222	58360	98732	45398
SSU ribosomal protein S8p (S15Ae)	15306	35248	30773	31593	30953	41820	70512	29553
SSU ribosomal protein S9p (S16e)	4962	11985	10206	21702	28439	41165	62063	25813
Stage 0 sporulation protein J	2869	7465	5068	5007	7641	11309	12309	5768
Stage II sporulation protein D	0	0	0	0	0	0	0	0
Stage II sporulation protein D (SpoIID)	5	12	2	935	276	540	776	322
Stage IV sporulation protein A	0	0	1	0	0	0	1	8
Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)	0	1	0	2	1	1	1	7
Stage V sporulation protein E	1	2	1	10	5	6	81	20
Stage V sporulation protein whose disruption leads to the production of immature spores (SpoVK)	0	0	0	0	0	0	0	0
Starvation lipoprotein Slp	0	0	0	2	0	0	0	0
Starvation sensing protein RspA	0	1	0	0	1	0	0	0
Starvation sensing protein RspB	0	0	0	0	0	0	3	0
Strepotococcal cysteine protease (Streptopain) (EC 3.4.22.10)	5	35	4	515	44	1129	835	106
Streptodornase B	0	0	0	1	1	3	2	1
Streptokinase B	0	1	0	0	0	0	1	0
Streptolysin S biosynthesis protein B (SagB)	755	6049	3876	1262	813	1219	5201	3
Streptolysin S biosynthesis protein C (SagC)	310	1346	1257	1	2	1	0	1
Streptolysin S biosynthesis protein D (SagD)	3	3	2	1376	1015	1158	5432	2
Streptolysin S export transmembrane permease (SagH)	0	0	0	0	0	0	0	0
Streptothricin acetyltransferase, Streptomyces lavendulae type	0	0	0	0	0	0	0	0
Stringent starvation protein A	0	0	0	0	0	0	0	0
Structure-specific tRNA-binding protein	0	0	0	13	5	0	3	0
Substrate-specific component BioY of biotin ECF transporter	21	29	11	2658	1584	38827	3532	3955
Substrate-specific component BL0695 of predicted ECF transporter	17	102	24	615	738	955	508	394
Substrate-specific component CbrT of predicted cobalamin ECF transporter	1	3	6	4	3	3	3	1
Substrate-specific component FolT of folate ECF transporter	3740	44120	22442	386	1329	158	176	92
Substrate-specific component MtsA of methionine-regulated ECF transporter	844	2421	959	3	4	5	3	2
Substrate-specific component NiaX of predicted niacin ECF transporter	0	0	0	0	0	0	0	0
Substrate-specific component PanT of predicted pantothenate ECF transporter	743	1768	873	1747	624	1208	1323	503
Substrate-specific component PdxU of predicted pyridoxine ECF transporter	5875	17845	7183	4	5	5	13	1
Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter	13	22	25	464	788	656	623	276
Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter	2	2	2	1183	5	5	4	13
Substrate-specific component RibU of riboflavin ECF transporter	634	778	1178	483	354	931	459	621
Substrate-specific component STY3230 of queuosine-regulated ECF transporter	6	5	5	2598	32	602	3328	2431
Substrate-specific component ThiT of thiamin ECF transporter	3	2	6	5	6	19	6	14
Substrate-specific component ThiW of predicted thiazole ECF transporter	2	2	2	6	15	2	8	6
Substrate-specific component TrpP of tryptophan ECF transporter	11	24	8	753	1489	1189	10888	5115
Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	2926	13393	3683	4097	1780	11329	5345	4762
Succinate dehydrogenase cytochrome b subunit	5	17	8	1577	2258	2816	6533	4010
Succinate dehydrogenase cytochrome b-556 subunit	0	0	0	0	0	0	2	0
Succinate dehydrogenase cytochrome b558 subunit	0	0	0	0	0	45	0	0
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	33	27	8	2409	2915	4958	13666	6994
Succinate dehydrogenase hydrophobic membrane anchor protein	2	0	0	0	0	0	0	0
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	16	17	9	1141	1355	2543	5203	3427
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	854	19	35	2877	1743	3138	8537	3252
Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	674	35	10	6096	5634	8499	13964	8691
Succinyl-CoA synthetase, alpha subunit-related enzymes	0	0	0	0	0	0	2	0
Succinylarginine dihydrolase (EC 3.5.3.23)	0	0	0	0	0	0	0	1
Succinylglutamate desuccinylase (EC 3.5.1.96)	0	0	0	0	1	0	0	0
Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	0	0	0	0	0	0	0	0
Succinylornithine transaminase (EC 2.6.1.81)	0	0	0	0	1	0	0	0
Sucrose operon repressor ScrR, LacI family	396	1021	557	4	6	4	4	3
Sucrose phosphorylase (EC 2.4.1.7)	357	477	285	1	1	1	2	1
Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	69	207	127	6	14	19	25	8
Sugar diacid utilization regulator SdaR	1	4	3	15	7	14	6	15
Sugar phosphate isomerases/epimerases family protein YcjR	0	1	0	0	0	0	0	0
Sugar-1-epimerase YihR	1	1	0	311	2	22	413	13
Sugar/maltose fermentation stimulation protein homolog	3	3	4	810	87	223	367	187
Sulfatase	1	1	0	60	129	185	368	224
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	0	0	0	0	0	0	0	0
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	0	0	1	0	0	0	1	0
Sulfate and thiosulfate binding protein CysP	0	1	0	0	0	0	0	0
Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)	1	0	0	0	0	0	0	0
Sulfate permease	0	0	0	11	1	5	23	5
Sulfate permease, Trk-type	0	0	0	0	0	0	0	0
Sulfate transport system permease protein CysW	0	1	0	0	0	0	0	2
Sulfate transporter, CysZ-type	0	0	0	0	0	0	0	0
Sulfate-binding protein Sbp	0	0	1	0	0	1	1	0
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	0	1	0	0	0	0	1	0
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	0	1	0	0	0	0	0	0
Sulfur acceptor protein SufE for iron-sulfur cluster assembly	2	4	4	681	545	801	1720	1183
Sulfur carrier protein adenylyltransferase ThiF	25	47	26	2631	2306	398	59202	6223
Sulfur carrier protein ThiS	12	30	18	5436	2751	7664	12395	9946
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	0	0	0	0	0	2	0	0
Superoxide dismutase [Fe] (EC 1.15.1.1)	1	0	0	2	0	2	2	0
Superoxide dismutase [Mn] (EC 1.15.1.1)	0	0	0	0	0	0	0	2
Superoxide reductase (EC 1.15.1.2)	24	51	12	1616	1519	1741	8651	15595
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	7	14	3	952	921	1811	3282	1218
SusC, outer membrane protein involved in starch binding	18	50	17	7509	8868	11826	28048	10695
SusD, outer membrane protein	52	129	39	10166	16089	20509	46577	18781
T7-like phage DNA Polymerase (EC 2.7.7.7)	0	0	0	0	0	0	6	0
T7-like phage ssDNA-binding protein	0	0	0	0	0	0	10	0
Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)	33	63	22	1232	2825	5805	62	9162
Tagatose-6-phosphate kinase (EC 2.7.1.144)	0	0	0	1	1	1	1	1
Tagatose-6-phosphate kinase AgaZ (EC 2.7.1.144)	0	0	0	0	1	0	0	0
Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144)	0	0	0	0	0	0	0	0
Tail fiber protein [SA bacteriophages 11, Mu50B]	0	0	0	0	0	1	0	0
Taurine transport ATP-binding protein TauB	0	0	0	0	0	0	0	0
Taurine transport system permease protein TauC	0	0	0	2	0	1	1	0
Taurine-binding periplasmic protein TauA	0	1	0	1	1	0	0	0
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	8	5	4	946	251	459	1878	1736
Teichoic acid glycosylation protein	1045	2655	1914	6	7	5	12	5
Teicoplanin-resistance associated HTH-type transcriptional regulator TcaR	2	4	0	0	0	0	0	0
Tellurite resistance protein TehA	16	22	12	2684	290	472	1275	508
Tellurite resistance protein TehB	0	2	0	0	0	0	1	0
TetR family regulatory protein	3	1	1	1	1	1	1	1
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	4	8	4	462	360	795	1098	466
Tetracycline resistance protein TetM	1	1	0	168	15	3	502	1
Tetracycline resistance protein TetO	0	3	0	3	0	0	8	12
Tetracycline resistance protein TetQ	0	4	0	38	46	24	141	102
Thermostable carboxypeptidase 1 (EC 3.4.17.19)	0	1	0	33	63	41	40	9
Thiamin ABC transporter, ATPase component	0	0	0	0	0	1	0	0
Thiamin ABC transporter, substrate-binding component	0	0	0	2	0	0	2	0
Thiamin ABC transporter, transmembrane component	0	1	0	1	0	0	0	0
Thiamin biosynthesis protein ThiC	4	5	3	231	169	583	753	154
Thiamin pyrophosphokinase (EC 2.7.6.2)	1260	3620	2394	2482	1730	2962	5119	3057
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	26	27	15	2465	1640	3871	7276	4085
Thiamin-regulated outer membrane receptor Omr1	37	72	22	1791	1795	4884	9101	7451
